name,NI,age
Columbus,0.81,23
Lon,0.19,26
Ora,0.95,19
Ollie,0.51,65
Russell,0.78,24
Pearl,0.21,27
Solomon,0.67,25
Arch,0.94,23
Asa,0.03,18
Clayton,0.65,42
Enoch,0.69,56
Irving,0.68,41
Mathew,0.21,63
Nathaniel,0.92,6
Scott,0.95,49
Hubert,0.54,40
Lemuel,0.63,40
Andy,0.06,54
Ellis,0.83,64
Emanuel,0.54,64
Joshua,0.29,10
Millard,0.01,53
Vernon,0.12,44
Wade,0.03,41
Cyrus,0.89,33
Miles,0.99,47
Rudolph,0.72,49
Sherman,0.91,39
Austin,0.55,49
Bill,0.12,16
Chas,0.31,59
Lonnie,0.59,60
Monroe,0.07,13
Byron,0.07,37
Edd,0.16,20
Emery,0.04,48
Grant,0.21,34
Jerome,0.17,5
Max,0.85,14
Mose,0.35,20
Steve,0.9,45
Gordon,0.99,23
Abe,0.82,37
Pete,0.01,6
Chris,0.01,51
Clark,0.66,56
Gustave,0.76,54
Orville,0.96,14
Lorenzo,0.89,48
Bruce,0.24,40
Marcus,0.39,33
Preston,0.42,55
Bob,0.42,15
Dock,0.94,16
Donald,0.76,43
Jackson,0.94,50
Cecil,0.21,37
Barney,0.87,14
Delbert,0.64,54
Edmond,0.81,55
Anderson,0.61,6
Christian,0.88,14
Glenn,0.11,26
Jefferson,0.42,54
Luke,0.98,17
Neal,0.06,16
Burt,0.51,26
Ike,0.32,55
Myron,0.27,42
Tony,0.73,61
Conrad,0.44,41
Joel,0.04,19
Matt,0.9,17
Riley,0.77,28
Vincent,0.26,27
Emory,0.68,21
Isaiah,0.4,30
Nick,0.54,45
Ezra,0.29,50
Green,0.54,5
Juan,0.83,44
Clifton,0.38,11
Lucius,0.93,34
Porter,0.36,10
Arnold,0.98,30
Bud,0.7,50
Jeremiah,0.2,49
Taylor,0.98,36
Forrest,0.4,19
Roland,0.19,42
Spencer,0.63,41
Burton,0.91,50
Don,0.9,43
Emmet,0.55,35
Gustav,0.3,55
Louie,0.7,22
Morgan,0.71,46
Ned,0.57,43
Van,0.14,20
Ambrose,0.89,9
Chauncey,0.94,62
Elisha,0.64,56
Ferdinand,0.38,24
General,0.94,27
Julian,0.57,17
Kenneth,0.54,63
Mitchell,0.15,23
Allie,0.75,58
Josh,0.81,33
Judson,0.24,59
Lyman,0.17,61
Napoleon,0.56,58
Pedro,0.32,22
Berry,0.9,28
Dewitt,0.74,18
Ervin,0.98,31
Forest,0.04,33
Lynn,0.37,29
Pink,0.15,31
Ruben,0.35,63
Sanford,0.51,6
Ward,0.43,19
Douglas,0.66,52
Ole,0.23,55
Omer,0.68,19
Ulysses,0.09,52
Walker,0.83,17
Wilbert,0.36,31
Adelbert,0.92,47
Benjiman,0.91,62
Ivan,0.95,59
Jonas,0.45,29
Major,0.54,23
Abner,0.64,54
Archibald,0.96,58
Caleb,0.44,22
Clint,0.49,53
Dudley,0.5,52
Granville,0.45,16
King,0.01,59
Mary,0.17,11
Merton,0.32,57
Antonio,0.54,20
Bennie,0.67,21
Carroll,0.02,32
Freeman,0.43,31
Josiah,0.32,53
Milo,0.4,49
Royal,0.83,48
Dick,0.97,59
Earle,0.96,38
Elza,0.27,7
Emerson,0.25,10
Fletcher,0.15,61
Judge,0.9,12
Laurence,0.92,11
Neil,0.75,17
Roger,0.48,65
Seth,0.54,38
Glen,0.02,35
Hugo,0.14,53
Jimmie,0.66,31
Johnnie,0.19,55
Washington,0.08,13
Elwood,0.56,63
Gust,0.54,10
Harmon,0.34,12
Jordan,0.22,18
Simeon,0.89,56
Wayne,0.01,18
Wilber,0.07,20
Clem,0.73,9
Evan,0.9,7
Frederic,0.54,61
Irwin,0.5,60
Junius,0.57,27
Lafayette,0.48,9
Loren,0.15,46
Madison,0.18,53
Mason,0.3,12
Orval,0.93,61
Abram,0.33,59
Aubrey,0.66,49
Elliott,0.38,46
Hans,0.18,19
Karl,0.96,52
Minor,0.19,32
Wash,0.74,31
Wilfred,0.55,28
Allan,0.7,43
Alphonse,0.84,29
Dallas,0.95,59
Dee,0.48,38
Isiah,0.95,21
Jason,0.94,64
Johnny,0.09,61
Lawson,0.67,60
Lew,0.25,33
Micheal,0.48,50
Orin,0.5,55
Addison,0.59,45
Cal,0.02,45
Erastus,0.19,29
Francisco,0.13,53
Hardy,0.64,41
Lucien,0.01,13
Randolph,0.48,60
Stewart,0.79,48
Vern,0.77,14
Wilmer,0.33,8
Zack,0.97,40
Adrian,0.06,64
Alvah,0.8,6
Bertram,0.2,53
Clay,0.1,51
Ephraim,0.65,33
Fritz,0.94,10
Giles,0.53,25
Grover,1,55
Harris,0.82,47
Isom,0.85,61
Jesus,0.88,30
Johnie,0.48,22
Jonathan,0.3,13
Lucian,0.75,21
Malcolm,0.38,45
Merritt,0.61,6
Otho,0.53,41
Perley,0.02,23
Rolla,0.96,36
Sandy,0.99,8
Tomas,0.96,36
Wilford,0.01,37
Adolphus,0.47,8
Angus,0.31,35
Arther,0.23,47
Carlos,0.36,33
Cary,0.22,41
Cassius,0.04,16
Davis,0.23,54
Hamilton,0.68,7
Harve,0.61,18
Israel,0.04,27
Leander,0.8,10
Melville,0.61,8
Merle,0.08,30
Murray,0.8,41
Pleasant,0.08,18
Sterling,0.62,42
Steven,0.36,61
Axel,0.89,26
Boyd,0.47,52
Bryant,0.5,11
Clement,0.22,51
Erwin,0.87,58
Ezekiel,0.97,48
Foster,0.56,22
Frances,0.97,40
Geo,0.21,63
Houston,0.42,32
Issac,0.04,41
Jules,0.38,54
Larkin,0.31,59
Mat,0.13,29
Morton,0.65,13
Orlando,0.47,32
Pierce,0.08,10
Prince,0.49,38
Rollie,0.23,21
Rollin,0.95,21
Sim,0.41,62
Stuart,0.21,64
Wilburn,0.7,56
Bennett,0.83,38
Casper,0.88,15
Christ,0.06,37
Dell,0.01,34
Egbert,0.91,14
Elmo,0.24,60
Fay,0.42,58
Gabriel,0.62,43
Hector,0.86,61
Horatio,0.05,13
Lige,0.51,32
Saul,0.89,33
Smith,0.8,37
Squire,0.84,23
Tobe,0.52,46
Tommie,0.07,48
Wyatt,0.23,21
Alford,0.48,41
Alma,0.3,61
Alton,0.21,48
Andres,0.12,10
Burl,0.22,11
Cicero,0.41,41
Dean,0.34,36
Dorsey,0.64,53
Enos,0.98,50
Howell,0.59,9
Lou,0.44,46
Loyd,0.62,49
Mahlon,0.32,26
Nat,0.05,51
Omar,0.36,58
Oran,0.65,48
Parker,0.04,49
Raleigh,0.96,56
Reginald,0.92,54
Rubin,0.82,54
Seymour,0.39,8
Wm,0.47,14
Young,0.44,61
Benjamine,0.99,33
Carey,0.61,58
Carlton,0.26,30
Eldridge,0.43,23
Elzie,0.65,49
Garrett,0.96,15
Isham,0.31,54
Johnson,0.23,15
Larry,0.37,52
Logan,0.09,23
Merrill,0.04,64
Mont,0.17,63
Oren,0.04,22
Pierre,0.69,22
Rex,0.99,10
Rodney,0.03,20
Ted,0.63,28
Webster,0.57,64
West,0.05,56
Wheeler,0.92,49
Willam,0.4,24
Al,0.78,22
Aloysius,0.69,6
Alvie,0.62,27
Anna,0.44,55
Art,0.43,38
Augustine,0.47,24
Bailey,0.04,49
Benjaman,0.01,58
Beverly,0.22,7
Bishop,0.7,31
Clair,0.96,48
Cloyd,0.47,31
Coleman,0.09,8
Dana,0.42,29
Duncan,0.15,18
Dwight,0.97,35
Emile,0.71,50
Evert,0.7,63
Henderson,0.18,58
Hunter,0.95,51
Jean,0.22,28
Lem,0.67,15
Luis,0.47,33
Mathias,0.11,29
Maynard,0.65,35
Miguel,0.29,32
Mortimer,0.3,13
Nels,0.91,56
Norris,0.23,36
Pat,0.93,5
Phil,0.24,65
Rush,0.83,13
Santiago,0.12,37
Sol,0.28,6
Sydney,0.52,14
Thaddeus,0.89,14
Thornton,0.39,39
Tim,0.62,26
Travis,0.45,5
Truman,0.74,20
Watson,0.57,45
Webb,0.8,38
Wellington,0.33,26
Winfred,0.93,48
Wylie,0.44,37
Alec,0.53,14
Basil,0.53,5
Baxter,1,19
Bertrand,0.62,21
Buford,0.84,24
Burr,0.15,45
Cleveland,0.13,16
Colonel,0.13,13
Dempsey,0.23,19
Early,0.34,42
Ellsworth,0.54,31
Fate,0.92,60
Finley,0.04,57
Gabe,0.43,48
Garland,0.7,59
Gerald,0.23,46
Herschel,0.73,46
Hezekiah,0.9,59
Justus,0.51,56
Lindsey,0.37,23
Marcellus,0.47,22
Olaf,0.08,19
Olin,1,40
Pablo,0.69,7
Rolland,0.24,56
Turner,0.74,21
Verne,0.39,52
Volney,0.03,24
Williams,0.39,24
Almon,0.49,56
Alois,0.01,9
Alonza,0.68,64
Anson,0.78,38
Authur,0.91,9
Benton,0.58,14
Billie,0.31,36
Cornelious,0.24,10
Darius,0.83,23
Denis,0.34,9
Dillard,1,38
Doctor,0.97,49
Elvin,0.66,8
Emma,0.08,15
Eric,0.63,49
Evans,0.4,58
Gideon,0.49,6
Haywood,0.44,5
Hilliard,0.99,43
Hosea,0.73,32
Lincoln,0.32,65
Lonzo,0.87,64
Lucious,0.38,16
Lum,0.9,34
Malachi,0.77,40
Newt,0.87,53
Noel,0.53,14
Orie,0.18,14
Palmer,0.2,42
Pinkney,0.7,19
Shirley,0.16,54
Sumner,0.63,49
Terry,0.5,45
Urban,0.57,29
Uriah,0.17,19
Valentine,0.45,16
Waldo,0.65,65
Warner,0.52,42
Wong,0.94,53
Zeb,0.67,28
Abel,0.37,8
Alden,0.91,48
Archer,0.29,57
Avery,0.62,55
Carson,0.79,33
Cullen,0.53,34
Doc,0.08,46
Eben,0.56,27
Elige,0.58,13
Elizabeth,0.17,15
Elmore,0.17,20
Ernst,0.58,39
Finis,0.22,21
Freddie,0.53,9
Godfrey,0.13,65
Guss,0.91,25
Hamp,0.67,30
Hermann,0.96,46
Isadore,0.97,49
Isreal,0.44,49
Jones,0.03,57
June,0.48,23
Lacy,0.42,61
Lafe,0.46,31
Leland,0.25,6
Llewellyn,0.74,47
Ludwig,0.35,46
Manford,0.81,31
Maxwell,0.7,48
Minnie,0.61,34
Obie,0.36,19
Octave,0.29,52
Orrin,0.94,56
Ossie,0.56,51
Oswald,0.91,34
Park,0.31,23
Parley,0.34,43
Ramon,0.65,7
Rice,0.85,26
Stonewall,0.25,10
Theo,0.46,56
Tillman,0.26,14
Addie,0.71,30
Aron,0.89,12
Ashley,0.88,27
Bernhard,0.08,55
Bertie,0.96,7
Berton,0.43,9
Buster,0.84,49
Butler,0.06,61
Carleton,0.6,62
Carrie,0.65,23
Clara,0.97,18
Clarance,0.69,40
Clare,0.13,40
Crawford,0.42,47
Danial,0.62,63
Dayton,0.08,61
Dolphus,0.41,43
Elder,0.06,20
Ephriam,0.92,60
Fayette,0.88,9
Felipe,0.91,39
Fernando,0.4,55
Flem,0.86,59
Florence,0.26,6
Ford,0.02,65
Harlan,0.36,54
Hayes,0.25,51
Henery,0.3,62
Hoy,0.32,36
Huston,0.05,8
Ida,0.73,38
Ivory,0.17,52
Jonah,0.41,19
Justin,0.69,53
Lenard,0.69,35
Leopold,0.83,13
Lionel,0.08,11
Manley,0.91,34
Marquis,0.12,8
Marshal,0.41,13
Mart,0.78,27
Odie,0.68,64
Olen,0.17,29
Oral,0.99,49
Orley,0.66,8
Otha,0.56,37
Press,0.77,65
Price,0.11,6
Quincy,0.78,9
Randall,0.3,27
Rich,0.48,40
Richmond,0.55,43
Romeo,0.05,41
Russel,0.03,23
Rutherford,0.26,32
Shade,0.59,40
Shelby,0.35,29
Solon,0.82,30
Thurman,0.29,7
Tilden,0.43,22
Troy,0.67,64
Woodson,0.66,5
Worth,0.96,27
Aden,0.63,22
Alcide,0.67,42
Alf,0.81,62
Algie,0.13,18
Arlie,0.94,5
Bart,0.25,49
Bedford,0.66,60
Benito,0.12,56
Billy,0.11,38
Bird,0.92,41
Birt,0.12,42
Bruno,0.64,23
Burley,0.71,44
Chancy,0.98,36
Claus,0.5,58
Cliff,0.65,50
Clovis,0.03,35
Connie,0.45,6
Creed,0.46,24
Delos,0.98,46
Duke,0.29,17
Eber,0.62,33
Eligah,0.31,58
Elliot,0.83,25
Elton,0.38,47
Emmitt,0.85,46
Gene,0.89,22
Golden,0.17,44
Hal,0.23,17
Hardin,0.43,63
Harman,0.17,15
Hervey,0.56,50
Hollis,0.77,64
Ivey,0.23,10
Jennie,0.2,9
Len,0.85,58
Lindsay,0.38,32
Lonie,0.54,53
Lyle,0.8,51
Mac,0.98,25
Mal,0.15,35
Math,0.25,60
Miller,0.49,25
Orson,0.23,59
Osborne,0.73,13
Percival,0.35,14
Pleas,0.94,49
Ples,0.37,43
Rafael,0.74,7
Raoul,0.55,18
Roderick,0.6,14
Rose,0.74,60
Shelton,0.86,47
Sid,0.46,35
Theron,0.29,47
Tobias,0.55,8
Toney,0.33,61
Tyler,0.1,60
Vance,0.1,7
Vivian,0.25,8
Walton,0.31,5
Watt,0.78,16
Weaver,0.07,6
Wilton,0.98,22
Adolf,0.14,63
Albin,0.41,12
Albion,0.58,49
Allison,0.48,27
Alpha,0.41,32
Alpheus,0.06,32
Anastacio,0.91,38
Andre,0.76,15
Annie,0.22,65
Arlington,0.23,12
Armand,0.5,21
Asberry,0.14,58
Asbury,0.89,58
Asher,0.95,54
Augustin,0.15,20
Auther,0.48,48
Author,0.46,53
Ballard,0.35,42
Blas,0.51,55
Caesar,0.62,28
Candido,0.69,40
Cato,0.3,10
Clarke,0.53,30
Clemente,0.36,28
Colin,0.27,13
Commodore,0.45,48
Cora,0.05,49
Coy,0.97,8
Cruz,0.95,59
Curt,0.01,36
Damon,0.64,49
Davie,0.22,22
Delmar,1,43
Dexter,0.04,35
Dora,0.1,27
Doss,0.4,31
Drew,0.58,51
Edson,0.38,35
Elam,0.35,57
Elihu,0.59,20
Eliza,0.93,51
Elsie,0.87,31
Erie,0.78,36
Ernie,0.4,11
Ethel,0.6,31
Ferd,0.94,13
Friend,0.71,33
Garry,0.73,8
Gary,0.41,54
Grace,0.17,59
Gustaf,0.1,34
Hallie,0.52,13
Hampton,0.53,18
Harrie,0.11,61
Hattie,0.2,61
Hence,0.51,7
Hillard,0.36,22
Hollie,1,21
Holmes,0.29,60
Hope,0.78,63
Hyman,1,44
Ishmael,0.14,42
Jarrett,0.48,9
Jessee,0.47,14
Joeseph,0.71,23
Junious,0.78,37
Kirk,0.33,22
Levy,0.72,8
Mervin,0.61,23
Michel,0.69,41
Milford,0.51,58
Mitchel,0.62,46
Nellie,0.15,15
Noble,0.27,39
Obed,0.98,62
Oda,0.59,63
Orren,0.86,19
Ottis,0.63,11
Rafe,0.18,24
Redden,0.99,25
Reese,0.3,19
Rube,0.28,13
Ruby,0.24,15
Rupert,0.74,26
Salomon,0.11,61
Sammie,0.83,55
Sanders,0.41,57
Soloman,0.05,49
Stacy,0.99,10
Stanford,0.79,55
Stanton,0.1,20
Thad,0.58,13
Titus,0.94,39
Tracy,0.07,19
Vernie,0.49,9
Wendell,0.26,20
Wilhelm,0.08,54
Willian,0.88,60
Yee,0.7,31
Zeke,0.99,17
Ab,0.27,37
Abbott,0.69,23
Agustus,0.92,24
Albertus,0.33,58
Almer,0.84,56
Alphonso,0.8,38
Alvia,0.72,36
Artie,0.95,27
Arvid,0.59,31
Ashby,0.01,23
Augusta,0.73,54
Aurthur,0.92,32
Babe,0.11,34
Baldwin,0.43,40
Barnett,0.38,60
Bartholomew,0.5,56
Barton,0.12,23
Bernie,0.18,57
Blaine,0.2,43
Boston,0.33,24
Brad,0.77,30
Bradford,0.46,62
Bradley,0.15,48
Brooks,0.57,33
Buck,0.68,60
Budd,0.07,25
Ceylon,0.4,60
Chalmers,0.67,49
Chesley,0.07,61
Chin,1,53
Cleo,0.99,15
Crockett,0.92,33
Cyril,0.66,35
Daisy,0.9,40
Denver,0.36,9
Dow,0.54,26
Duff,0.03,49
Edie,0.28,33
Edith,0.33,46
Elick,0.47,41
Elie,0.72,40
Eliga,0.03,52
Eliseo,0.6,17
Elroy,0.21,61
Ely,0.03,65
Ennis,0.51,44
Enrique,0.2,49
Erasmus,0.99,32
Esau,0.43,49
Everette,0.16,65
Firman,0.24,27
Fleming,0.35,14
Flora,0.44,35
Gardner,0.51,49
Gee,1,36
Gorge,0.98,6
Gottlieb,0.98,20
Gregorio,0.08,26
Gregory,0.2,18
Gustavus,0.54,40
Halsey,0.68,25
Handy,0.27,19
Hardie,0.53,10
Harl,0.12,26
Hayden,0.16,16
Hays,0.15,26
Hermon,0.05,61
Hershel,0.23,55
Holly,0.84,63
Hosteen,0.16,15
Hoyt,0.67,63
Hudson,0.76,8
Huey,0.81,31
Humphrey,0.62,54
Hunt,0.12,25
Hyrum,0.91,26
Irven,0.16,62
Isam,0.01,50
Ivy,0.98,21
Jabez,0.05,42
Jewel,0.78,35
Jodie,0.43,26
Judd,0.25,21
Julious,0.04,7
Justice,0.49,32
Katherine,0.01,48
Kelly,0.78,42
Kit,0.51,8
Knute,0.74,27
Lavern,0.11,9
Lawyer,0.03,6
Layton,0.63,34
John,0.4,22
William,0.14,9
James,0.5,25
George,0.53,6
Charles,0.6,61
Frank,0.19,38
Joseph,0.53,50
Henry,0.16,23
Thomas,0.9,63
Edward,0.96,23
Robert,0.45,37
Harry,0.92,12
Walter,0.65,16
Arthur,0.99,62
Fred,0.65,60
Albert,0.57,25
Samuel,0.85,56
David,0.03,51
Louis,0.92,54
Charlie,0.73,22
Clarence,0.34,24
Richard,0.23,28
Joe,0.67,38
Andrew,0.2,30
Ernest,0.56,18
Will,0.88,59
Jesse,0.26,57
Oscar,0.56,42
Daniel,0.68,44
Willie,0.33,48
Benjamin,0.51,48
Sam,0.52,23
Alfred,0.66,40
Roy,0.14,33
Lewis,0.19,59
Frederick,0.55,38
Peter,0.22,35
Elmer,0.28,19
Jacob,0.01,8
Herbert,0.49,9
Carl,0.75,30
Howard,0.96,61
Tom,0.46,10
Lee,0.1,6
Ralph,0.85,61
Martin,0.42,35
Jim,0.53,13
Earl,0.26,43
Eugene,0.48,51
Bert,0.52,52
Edgar,0.11,15
Herman,0.3,20
Claude,0.18,58
Michael,0.69,9
Paul,0.6,20
Ben,0.31,45
Ira,0.11,17
Harvey,0.32,35
Chester,0.25,54
Edwin,0.67,20
Ed,0.2,52
Charley,0.33,23
Francis,0.38,39
Isaac,0.8,10
Luther,0.13,60
Lawrence,0.3,44
Oliver,0.02,34
Clyde,0.16,37
Otto,0.35,64
Hugh,0.34,30
Alexander,0.65,28
Leonard,0.78,29
Jack,0.39,16
Raymond,0.31,40
Patrick,0.3,15
Guy,0.73,63
Homer,0.26,57
Floyd,0.97,27
Theodore,0.06,23
Allen,0.36,26
August,0.14,49
Marion,0.35,53
Philip,0.89,6
Warren,0.72,33
Horace,0.52,45
Dan,0.46,16
Ray,0.77,8
Garfield,0.53,45
Stephen,0.37,28
Emil,0.95,28
Jessie,0.69,61
Milton,0.14,5
Willis,0.43,16
Calvin,0.72,7
Dave,0.37,34
Bernard,0.44,36
Julius,0.28,44
Leroy,0.73,37
Sidney,0.44,60
Anthony,0.15,47
Archie,0.76,7
Perry,0.81,37
Leo,0.54,36
Leon,0.19,13
Rufus,0.56,14
Harold,0.58,19
Franklin,0.61,54
Adam,0.09,20
Alex,0.32,38
Alonzo,0.87,62
Everett,0.9,22
Clifford,0.41,7
Victor,0.29,53
Eddie,0.87,40
Alvin,0.61,57
Levi,0.16,5
Amos,0.07,30
Roscoe,0.01,35
Wesley,0.87,35
Dennis,0.45,39
Eli,0.91,42
Jerry,0.09,36
Jay,0.96,41
Hiram,0.54,32
Norman,0.44,25
Percy,0.38,23
Aaron,0.26,29
Gus,0.75,9
Mark,0.63,54
Willard,0.97,11
Moses,0.08,20
Earnest,0.8,17
Gilbert,0.02,60
Jake,0.32,30
Leslie,0.37,7
Nathan,0.39,46
Adolph,0.64,43
Nelson,0.7,59
Otis,0.06,19
Irvin,0.42,24
Wallace,0.35,49
Clinton,0.26,29
Lester,0.97,46
Lloyd,0.23,7
Morris,0.05,60
Abraham,0.91,39
Jess,0.86,65
Elbert,0.38,65
Phillip,0.1,58
Jasper,0.04,61
Ross,0.24,49
Noah,0.62,31
Wilbur,0.76,57
Claud,0.48,14
Cornelius,0.58,27
Mack,0.76,16
Matthew,0.71,43
Lonnie,0.94,15
Jose,0.03,36
Melvin,0.79,62
Stanley,0.45,19
Sylvester,0.17,22
Wiley,0.93,5
Simon,0.64,34
Reuben,0.9,31
Silas,0.51,25
Wilson,0.77,34
Curtis,0.84,52
Felix,0.79,42
Maurice,0.44,65
Alva,0.01,30
Elijah,0.07,24
Christopher,0.52,22
Owen,0.77,63
Austin,0.68,50
Clark,0.77,36
Max,0.4,28
Asa,0.65,7
Emmett,0.24,21
Fredrick,0.51,17
Russell,0.13,20
Virgil,0.84,31
Winfield,0.69,41
Mose,0.65,30
Timothy,0.02,47
Rudolph,0.61,58
Edmund,0.13,31
Harley,0.57,36
Harrison,0.5,19
Jeff,0.29,27
Orville,0.75,41
Irving,0.12,13
Andy,0.86,31
Ellis,0.67,15
Lemuel,0.27,53
Monroe,0.74,45
Anton,0.06,43
Joel,0.68,15
Manuel,0.64,26
Marvin,0.13,29
Pete,0.51,35
Vernon,0.54,55
Marshall,0.31,19
Nicholas,0.9,12
Ike,0.47,11
Mathew,0.91,17
Ora,0.72,25
Christian,0.05,49
Emery,0.85,26
Newton,0.43,51
Chris,0.97,23
Clayton,0.08,21
Pearl,0.56,44
Wade,0.34,21
Augustus,0.53,22
Columbus,0.41,60
Scott,0.02,36
Bob,0.24,25
Solomon,0.38,65
Emanuel,0.59,20
Nathaniel,0.87,11
Riley,0.41,51
Sherman,0.44,37
Glenn,0.18,7
Johnnie,0.79,56
Juan,0.41,20
Marcus,0.16,64
Ollie,0.12,45
Enoch,0.85,18
Ezra,0.41,51
Mike,0.53,11
Steve,0.74,17
Ambrose,0.01,37
Arch,0.92,65
Dock,0.88,21
Hubert,0.47,25
Bill,0.05,58
Burton,0.94,23
Edmond,0.13,32
Emory,0.33,44
Luke,0.47,27
Ole,0.23,10
Elias,0.71,44
Anderson,0.09,62
Barney,0.1,25
Byron,0.46,48
Cyrus,0.36,37
Edd,0.08,17
Joshua,0.8,10
Major,0.25,52
Miles,0.58,47
Chas,0.59,9
Clifton,0.69,36
Gustave,0.58,13
Nick,0.52,40
Taylor,0.33,65
Bud,0.64,62
Jerome,0.01,44
Lucius,0.72,10
Burt,0.79,47
Ward,0.45,53
Abe,0.75,43
Hugo,0.37,39
Julian,0.09,42
Millard,0.9,7
Preston,0.48,29
Tony,0.67,11
Cecil,0.23,43
Seth,0.93,27
Bruce,0.66,13
Fletcher,0.62,41
Jeremiah,0.55,11
Grant,0.14,6
Green,0.14,37
Neal,0.85,49
Bennie,0.88,20
Conrad,0.94,34
Dee,0.15,19
Ervin,0.21,20
Gordon,0.3,29
Grover,1,39
Isaiah,0.5,57
Lorenzo,0.05,36
Porter,0.57,10
Van,0.06,13
Glen,0.43,11
Jefferson,0.06,59
Louie,0.54,7
Abner,0.09,49
Abram,0.5,50
Dudley,0.17,20
Lucian,0.76,19
Roland,0.51,50
Vincent,0.37,33
Wayne,0.56,52
Arnold,0.85,54
Elisha,0.27,49
Elwood,0.18,32
Karl,0.3,44
Kenneth,0.93,29
Mary,0.08,6
Matt,0.71,48
Myron,0.14,10
Pink,0.22,52
Roger,0.79,8
Wilbert,0.89,56
Donald,0.89,61
Forrest,0.41,50
Irwin,0.18,50
Jackson,0.61,40
Laurence,0.71,7
Madison,0.29,21
Sanford,0.56,6
Archibald,0.38,20
Delbert,0.92,19
Lon,0.93,50
Stewart,0.18,62
Antonio,0.21,37
Chauncey,0.71,65
Don,0.41,17
Noble,0.27,7
Otho,0.15,8
Spencer,0.14,5
Avery,0.54,28
